Group,Title,Link,Summary,Date
biotechnology,Kidney Disease in Cats: High-Quality Feline iPSCs Generated Without Genetic Footprint,https://www.sciencedaily.com/releases/2024/09/240904131010.htm,,2024-09-04 00:00:00
biotechnology,New Species of Paua (Abalone) Found,https://www.sciencedaily.com/releases/2024/09/240903170750.htm,High-quality feline induced pluripotent stem cells (iPSCs) have now been generated. The feline iPSCs are also footprint- and feeder-free. Further research using these stem cells is expected to ...,2024-09-03 00:00:00
biotechnology,Blood Stem Cell Breakthrough Could Transform Bone Marrow Transplants,https://www.sciencedaily.com/releases/2024/09/240902111756.htm,,2024-09-02 00:00:00
biotechnology,Agriculture Accelerated Human Genome Evolution to Capture Energy from Starchy Foods,https://www.sciencedaily.com/releases/2024/09/240904141503.htm,Biologists have discovered a new species of paua mollusk (also known as abalone) off New ...,2024-09-04 00:00:00
biotechnology,Newly Discovered Gene May Influence Longevity,https://www.sciencedaily.com/releases/2024/09/240904130839.htm,,2024-09-04 00:00:00
biotechnology,Novel Immunotherapy Improves Recovery from Spinal Cord Injury,https://www.sciencedaily.com/releases/2024/09/240904130812.htm,Researchers have made a world first breakthrough into creating blood stem cells that closely resemble those in the human body. And the discovery could soon lead to personalized treatments for children with leukemia and bone marrow failure ...,2024-09-04 00:00:00
biotechnology,New Species of Antarctic Dragonfish Highlights Its Threatened Ecosystem,https://www.sciencedaily.com/releases/2024/08/240830164202.htm,,2024-08-30 00:00:00
biotechnology,Open Wide: Human Mouth Bacteria Reproduce Through Rare Form of Cell Division,https://www.sciencedaily.com/releases/2024/09/240902200805.htm,"Scientists have suspected that modern humans have more genes to digest starch than our hunter-gatherer ancestors, but the amylase locus of the genome is hard to study. Researchers have now developed ...",2024-09-02 00:00:00
biotechnology,AI Tool Maps out Cell Metabolism With Precision,https://www.sciencedaily.com/releases/2024/08/240830110750.htm,,2024-08-30 00:00:00
biotechnology,Genomic Dark Matter Solves Butterfly Evolutionary Riddle,https://www.sciencedaily.com/releases/2024/08/240830164205.htm,"It turns out that a particular gene has a great influence on longevity, a new study concludes. This may pave the way for new ...",2024-08-30 00:00:00
biotechnology,Seeing the Future: Zebrafish Regenerates Fully Functional Photoreceptor Cells and Restores Its Vision,https://www.sciencedaily.com/releases/2024/08/240829132448.htm,,2024-08-29 00:00:00
biotechnology,Upcycling Excess Carbon Dioxide With Tiny Microbes,https://www.sciencedaily.com/releases/2024/08/240830110911.htm,"Researchers have designed, in mice, an approach to minimizing the damage from a spinal cord injury through the use of engineered immune cells. Mice given the treatment had improved recovery from ...",2024-08-30 00:00:00
biotechnology,How Cells Use Condensation to Seal Tissues Tight,https://www.sciencedaily.com/releases/2024/08/240829132451.htm,,2024-08-29 00:00:00
biotechnology,How Beetle Juice Led to the Discovery of a Virus and Solved the Mystery of a Superworm Die-Off,https://www.sciencedaily.com/releases/2024/08/240828224243.htm,"A new species of Antarctic dragonfish, Akarotaxis gouldae or Banded Dragonfish, has been discovered in waters off the western Antarctic Peninsula. The species, named in honor of the recently ...",2024-08-28 00:00:00
biotechnology,'Silent' Mutations Found to Have Repercussions Beyond Their Own Gene,https://www.sciencedaily.com/releases/2024/08/240828155006.htm,,2024-08-28 00:00:00
biotechnology,Bacterial Cells Transmit Memories to Offspring,https://www.sciencedaily.com/releases/2024/08/240828154929.htm,"New research has uncovered an extraordinary mechanism of cell division in Corynebacterium matruchotii, one of the most common bacteria living in ...",2024-08-28 00:00:00
biotechnology,Moths May Use Disco Gene to Regulate Day/night Cycles,https://www.sciencedaily.com/releases/2024/08/240828114435.htm,,2024-08-28 00:00:00
biotechnology,This New Technique for Studying Cell Receptors Could Have Sweeping Implications for Drug Development,https://www.sciencedaily.com/releases/2024/08/240827140732.htm,"Scientists have developed an AI tool that creates detailed models of cellular metabolism, making it easier to understand how cells ...",2024-08-27 00:00:00
biotechnology,"Scientists Use Evolution to Bioengineer New Pathways to Sustainable Energy, Pharmaceuticals",https://www.sciencedaily.com/releases/2024/08/240826182926.htm,,2024-08-26 00:00:00
biotechnology,"Mapping the Sex Life of Malaria Parasites at Single Cell Resolution, Reveals the Genetics Underlying Malaria Transmission",https://www.sciencedaily.com/releases/2024/08/240826131230.htm,"Researchers have uncovered a surprising genetic mechanism that influences the vibrant and complex patterns on butterfly wings. The team discovered that an RNA molecule, rather than a protein as ...",2024-08-26 00:00:00
biotechnology,Revealing DNA Behavior in Record Time,https://www.sciencedaily.com/releases/2024/08/240822142622.htm,,2024-08-22 00:00:00
biotechnology,Creature the Size of a Dust Grain Found Hiding in California's Mono Lake,https://www.sciencedaily.com/releases/2024/08/240822142619.htm,"Blinding diseases lead to permanent vision loss by damaging photoreceptor cells, which humans cannot naturally regenerate. While researchers are ...",2024-08-22 00:00:00
biotechnology,Engineers Design Lookalike Drug Carrier to Evade Lung's Lines of Defense,https://www.sciencedaily.com/releases/2024/08/240822142612.htm,,2024-08-22 00:00:00
biotechnology,"Next Time You Beat a Virus, Thank Your Microbial Ancestors",https://www.sciencedaily.com/releases/2024/08/240821164635.htm,"While some microbes can make people sick or spoil food, others are critical for survival. These tiny organisms can also be engineered to make specific molecules. Researchers have rewired one such ...",2024-08-21 00:00:00
biotechnology,Life from a Drop of Rain: New Research Suggests Rainwater Helped Form the First Protocell Walls,https://www.sciencedaily.com/releases/2024/08/240821150020.htm,,2024-08-21 00:00:00
biotechnology,'DNA Scavengers' Can Stop Some Antibiotic Resistance from Spreading,https://www.sciencedaily.com/releases/2024/08/240821124310.htm,Our bodies and organs are shielded from the external environment by tissue barriers like the skin. These barriers must be tightly sealed to prevent unwanted substances from entering. This sealing is ...,2024-08-21 00:00:00
biotechnology,Engineered Bacteria Make Thermally Stable Plastics Similar to Polystyrene and PET,https://www.sciencedaily.com/releases/2024/08/240821124256.htm,,2024-08-21 00:00:00
biotechnology,Benefits and Downside of Fasting,https://www.sciencedaily.com/releases/2024/08/240821124252.htm,"Scientists have discovered a virus that caused a nationwide die-off of superworms, a common food for birds, reptiles, other pets and, more and more ...",2024-08-21 00:00:00
biotechnology,Surprising Mechanism for Removing Dead Cells Identified,https://www.sciencedaily.com/releases/2024/08/240821124204.htm,,2024-08-21 00:00:00
biotechnology,Researchers Teaching Artificial Intelligence About Frustration in Protein Folding,https://www.sciencedaily.com/releases/2024/08/240820221828.htm,Researchers are adding new evidence to the emerging concept that 'silent' or synonymous mutations may have crucial consequences. Their study showed how a synonymous mutation in one gene can ...,2024-08-20 00:00:00
biotechnology,New Worm Study Paves Way for Better RNA-Based Drugs to Treat Human Disease,https://www.sciencedaily.com/releases/2024/08/240820124520.htm,,2024-08-20 00:00:00
biotechnology,Deadly Sea Snail Toxin Could Be Key to Making Better Medicines,https://www.sciencedaily.com/releases/2024/08/240820124511.htm,"Bacterial cells can 'remember' brief, temporary changes to their bodies and immediate surroundings, a new study has found. And, although these changes are not encoded in the cell's ...",2024-08-20 00:00:00
biotechnology,Scientists Discover New Code Governing Gene Activity,https://www.sciencedaily.com/releases/2024/08/240820124448.htm,,2024-08-20 00:00:00
biotechnology,Researchers Uncover the Secrets of 'Plant Puberty',https://www.sciencedaily.com/releases/2024/08/240820124437.htm,How does one species become two? A new study shows what happens when individuals of a moth species become separated in ...,2024-08-20 00:00:00
biology,Investigational Mpox mRNA Vaccine Reduces Disease Severity in Primates Compared to Available Vaccines,https://www.sciencedaily.com/releases/2024/09/240904130825.htm,High-quality feline induced pluripotent stem cells (iPSCs) have now been generated. The feline iPSCs are also footprint- and feeder-free. Further research using these stem cells is expected to ...,2024-09-04 00:00:00
biology,At-Risk Butterflies More Likely to Survive With Human Help,https://www.sciencedaily.com/releases/2024/09/240904131019.htm,,2024-09-04 00:00:00
biology,Mathematicians Model a Puzzling Breakdown in Cooperative Behavior,https://www.sciencedaily.com/releases/2024/09/240903144912.htm,Biologists have discovered a new species of paua mollusk (also known as abalone) off New ...,2024-09-03 00:00:00
biology,How Zebrafish Map Their Environment,https://www.sciencedaily.com/releases/2024/09/240903144910.htm,,2024-09-03 00:00:00
biology,"Researchers Identify Mechanism Underlying Allergic Itching, and Show It Can Be Blocked",https://www.sciencedaily.com/releases/2024/09/240904131044.htm,,2024-09-04 00:00:00
biology,Infertility Challenges Amongst Endangered Wild Songbird Population Revealed in New Study,https://www.sciencedaily.com/releases/2024/09/240903144854.htm,"A model developed by evolutionary mathematicians shows that as conditions for cooperation improve between two species, mutually beneficial behavior can unexpectedly become unbalanced. Cooperative ...",2024-09-03 00:00:00
biology,50-Year Generation Gap in Minnesota's Longest-Lived Fish,https://www.sciencedaily.com/releases/2024/09/240903144838.htm,,2024-09-03 00:00:00
biology,Researchers Give Adult Zebra Finches Back Their Ability to Learn New Songs,https://www.sciencedaily.com/releases/2024/09/240903144452.htm,"Scientists have suspected that modern humans have more genes to digest starch than our hunter-gatherer ancestors, but the amylase locus of the genome ...",2024-09-03 00:00:00
biology,TB Under the Sea: A Marine Sponge Microbe Provides Insights Into the Evolution of Tuberculosis,https://www.sciencedaily.com/releases/2024/08/240829140836.htm,"It turns out that a particular gene has a great influence on longevity, a new study concludes. This may pave the way for new ...",2024-08-30 00:00:00
biology,"Number of Fish Species at Risk of Extinction Fivefold Higher Than Previous Estimates, According to a New Prediction",https://www.sciencedaily.com/releases/2024/08/240829140816.htm,,2024-08-29 00:00:00
biology,Scientists Discover How Starfish Get 'Legless',https://www.sciencedaily.com/releases/2024/08/240829132542.htm,"Researchers have designed, in mice, an approach to minimizing the damage from a spinal cord injury through the use of engineered immune cells. Mice given the treatment had improved recovery from ...",2024-08-29 00:00:00
biology,A Groundbreaking Study Describes a New Molecular Pathway Involved in the Control of Reproduction,https://www.sciencedaily.com/releases/2024/08/240829132506.htm,,2024-08-29 00:00:00
biology,Land-Sea 'Tag-Team' Devastated Ocean Life Millions of Years Ago Reveal Scientists,https://www.sciencedaily.com/releases/2024/08/240829132440.htm,"A new species of Antarctic dragonfish, Akarotaxis gouldae or Banded Dragonfish, has been discovered in waters off the western Antarctic Peninsula. The species, named in honor of the recently ...",2024-08-29 00:00:00
biology,Climate Change Increases Foodborne Illness Risk from Raw Produce,https://www.sciencedaily.com/releases/2024/08/240829132359.htm,,2024-08-29 00:00:00
biology,What's in the Microbiome of the Foods We Eat?,https://www.sciencedaily.com/releases/2024/08/240829131620.htm,"New research has uncovered an extraordinary mechanism of cell division in Corynebacterium matruchotii, one of the most common bacteria living in ...",2024-08-29 00:00:00
biology,Plant Signaling Pathways Decoded,https://www.sciencedaily.com/releases/2024/08/240828155037.htm,"The bigmouth buffalo is a fish that's native to Minnesota and known for its longevity. Researchers wanted to find out more about the species, especially how they migrate, spawn, and how often ...",2024-08-28 00:00:00
biology,"Study Reveals Isolation, Endogamy and Pathogens in Early Medieval Spanish Community",https://www.sciencedaily.com/releases/2024/08/240828154921.htm,,2024-08-28 00:00:00
biology,Bats Are Surviving and Thriving on Nothing but Sugar,https://www.sciencedaily.com/releases/2024/08/240828114412.htm,"Researchers have uncovered a surprising genetic mechanism that influences the vibrant and complex patterns on butterfly wings. The team discovered that an RNA molecule, rather than a protein as ...",2024-08-28 00:00:00
